Year,Region,Sex,Age Group,Ethnic Group,Measure,Value,Flags
"2018","Northland Region","Total Both Sexes","15 to 19","European","Average Weekly Earnings",517,
"2018","Northland Region","Total Both Sexes","15 to 19","European","Median Weekly Earnings",537,
"2018","Auckland Region","Total Both Sexes","15 to 19","European","Average Weekly Earnings",331,
"2018","Auckland Region","Total Both Sexes","15 to 19","European","Median Weekly Earnings",248,
"2018","Waikato Region","Total Both Sexes","15 to 19","European","Average Weekly Earnings",423,
"2018","Waikato Region","Total Both Sexes","15 to 19","European","Median Weekly Earnings",304,
"2018","Bay of Plenty Region","Total Both Sexes","15 to 19","European","Average Weekly Earnings",315,
"2018","Bay of Plenty Region","Total Both Sexes","15 to 19","European","Median Weekly Earnings",234,
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","15 to 19","European","Average Weekly Earnings",437,
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","15 to 19","European","Median Weekly Earnings",330,
"2018","Taranaki Region","Total Both Sexes","15 to 19","European","Average Weekly Earnings",505,
"2018","Taranaki Region","Total Both Sexes","15 to 19","European","Median Weekly Earnings",537,
"2018","Manawatu-Wanganui Region","Total Both Sexes","15 to 19","European","Average Weekly Earnings",340,
"2018","Manawatu-Wanganui Region","Total Both Sexes","15 to 19","European","Median Weekly Earnings",288,
"2018","Wellington Region","Total Both Sexes","15 to 19","European","Average Weekly Earnings",403,
"2018","Wellington Region","Total Both Sexes","15 to 19","European","Median Weekly Earnings",325,
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","15 to 19","European","Average Weekly Earnings",470,
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","15 to 19","European","Median Weekly Earnings",363,
"2018","Canterbury Region","Total Both Sexes","15 to 19","European","Average Weekly Earnings",353,
"2018","Canterbury Region","Total Both Sexes","15 to 19","European","Median Weekly Earnings",264,
"2018","Otago Region","Total Both Sexes","15 to 19","European","Average Weekly Earnings",329,
"2018","Otago Region","Total Both Sexes","15 to 19","European","Median Weekly Earnings",180,
"2018","Southland Region","Total Both Sexes","15 to 19","European","Average Weekly Earnings",435,
"2018","Southland Region","Total Both Sexes","15 to 19","European","Median Weekly Earnings",335,
"2018","Northland Region","Total Both Sexes","15 to 19","Maori","Average Weekly Earnings",595,
"2018","Northland Region","Total Both Sexes","15 to 19","Maori","Median Weekly Earnings",627,
"2018","Auckland Region","Total Both Sexes","15 to 19","Maori","Average Weekly Earnings",367,
"2018","Auckland Region","Total Both Sexes","15 to 19","Maori","Median Weekly Earnings",214,
"2018","Waikato Region","Total Both Sexes","15 to 19","Maori","Average Weekly Earnings",406,
"2018","Waikato Region","Total Both Sexes","15 to 19","Maori","Median Weekly Earnings",425,
"2018","Bay of Plenty Region","Total Both Sexes","15 to 19","Maori","Average Weekly Earnings",474,
"2018","Bay of Plenty Region","Total Both Sexes","15 to 19","Maori","Median Weekly Earnings",495,
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","15 to 19","Maori","Average Weekly Earnings",459,
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","15 to 19","Maori","Median Weekly Earnings",340,
"2018","Taranaki Region","Total Both Sexes","15 to 19","Maori","Average Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","15 to 19","Maori","Median Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","15 to 19","Maori","Average Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","15 to 19","Maori","Median Weekly Earnings",,s
"2018","Wellington Region","Total Both Sexes","15 to 19","Maori","Average Weekly Earnings",392,
"2018","Wellington Region","Total Both Sexes","15 to 19","Maori","Median Weekly Earnings",312,
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","15 to 19","Maori","Average Weekly Earnings",,s
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","15 to 19","Maori","Median Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","15 to 19","Maori","Average Weekly Earnings",328,
"2018","Canterbury Region","Total Both Sexes","15 to 19","Maori","Median Weekly Earnings",264,
"2018","Otago Region","Total Both Sexes","15 to 19","Maori","Average Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","15 to 19","Maori","Median Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","15 to 19","Maori","Average Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","15 to 19","Maori","Median Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","15 to 19","Pacific Peoples","Average Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","15 to 19","Pacific Peoples","Median Weekly Earnings",,s
"2018","Auckland Region","Total Both Sexes","15 to 19","Pacific Peoples","Average Weekly Earnings",422,
"2018","Auckland Region","Total Both Sexes","15 to 19","Pacific Peoples","Median Weekly Earnings",426,
"2018","Waikato Region","Total Both Sexes","15 to 19","Pacific Peoples","Average Weekly Earnings",,s
"2018","Waikato Region","Total Both Sexes","15 to 19","Pacific Peoples","Median Weekly Earnings",,s
"2018","Bay of Plenty Region","Total Both Sexes","15 to 19","Pacific Peoples","Average Weekly Earnings",,s
"2018","Bay of Plenty Region","Total Both Sexes","15 to 19","Pacific Peoples","Median Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","15 to 19","Pacific Peoples","Average Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","15 to 19","Pacific Peoples","Median Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","15 to 19","Pacific Peoples","Average Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","15 to 19","Pacific Peoples","Median Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","15 to 19","Pacific Peoples","Average Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","15 to 19","Pacific Peoples","Median Weekly Earnings",,s
"2018","Wellington Region","Total Both Sexes","15 to 19","Pacific Peoples","Average Weekly Earnings",399,
"2018","Wellington Region","Total Both Sexes","15 to 19","Pacific Peoples","Median Weekly Earnings",334,
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","15 to 19","Pacific Peoples","Average Weekly Earnings",,s
