Year,Region,Sex,Age Group,Ethnic Group,Measure,Value,Flags
2018,Northland Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Average Weekly Earnings,488,
2018,Northland Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Median Weekly Earnings,495,
2018,Auckland Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Average Weekly Earnings,331,
2018,Auckland Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Median Weekly Earnings,248,
2018,Waikato Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Average Weekly Earnings,407,
2018,Waikato Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Median Weekly Earnings,278,
2018,Bay of Plenty Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Average Weekly Earnings,353,
2018,Bay of Plenty Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Median Weekly Earnings,264,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,15 to 19,Total Ethnic Groups,Average Weekly Earnings,420,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,15 to 19,Total Ethnic Groups,Median Weekly Earnings,312,
2018,Taranaki Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Average Weekly Earnings,461,
2018,Taranaki Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Median Weekly Earnings,302,
2018,Manawatu-Wanganui Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Average Weekly Earnings,336,
2018,Manawatu-Wanganui Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Median Weekly Earnings,248,
2018,Wellington Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Average Weekly Earnings,391,
2018,Wellington Region,Total Both Sexes,15 to 19,Total Ethnic Groups,Median Weekly Earnings,306,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,15 to 19,Total Ethnic Groups,Average Weekly Earnings,447,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,15 to 19,Total Ethnic Groups,Median Weekly Earnings,363,
